,WK_CODE,Country,Time,2017,2018,2019
327,WK168021,Wijk 21 Ekehaar,act fat per,0.0663265,0.0663265,0.0663265
330,WK168021,Wijk 21 Ekehaar,biggest party,0.354592,0.354592,0.354592
331,WK168021,Wijk 21 Ekehaar,biggest party name,1.0,1.0,1.0
340,WK073800,Wijk 00 Wijk en Aalburg,act ind per,0.405948,0.41240699999999997,0.418865
341,WK073800,Wijk 00 Wijk en Aalburg,act ega per,0.0749324,0.0661359,0.0573395
342,WK073800,Wijk 00 Wijk en Aalburg,act col per,0.06527619999999999,0.0570073,0.0487385
343,WK073800,Wijk 00 Wijk en Aalburg,act fat per,0.42410200000000003,0.43295100000000003,0.4418
346,WK073800,Wijk 00 Wijk en Aalburg,biggest party,0.25647,0.226715,0.196961
347,WK073800,Wijk 00 Wijk en Aalburg,biggest party name,11.0,11.0,8.0
356,WK073801,Wijk 01 Veen,act ind per,0.35338,0.380757,0.40813499999999997
357,WK073801,Wijk 01 Veen,act ega per,0.043737599999999995,0.036595300000000004,0.029452999999999997
358,WK073801,Wijk 01 Veen,act col per,0.0521869,0.042923699999999995,0.0336606
359,WK073801,Wijk 01 Veen,act fat per,0.523857,0.516487,0.509116
362,WK073801,Wijk 01 Veen,biggest party,0.360338,0.303591,0.246844
363,WK073801,Wijk 01 Veen,biggest party name,11.0,11.0,8.0
372,WK073802,Wijk 02 Genderen,act ind per,0.581946,0.5622560000000001,0.542566
373,WK073802,Wijk 02 Genderen,act ega per,0.0981595,0.08924760000000001,0.0803357
374,WK073802,Wijk 02 Genderen,act col per,0.07975460000000001,0.0674552,0.055155899999999994
375,WK073802,Wijk 02 Genderen,act fat per,0.197195,0.240984,0.28477199999999997
378,WK073802,Wijk 02 Genderen,biggest party,0.23926399999999998,0.291694,0.344125
379,WK073802,Wijk 02 Genderen,biggest party name,2.0,2.0,2.0
388,WK073803,Wijk 03 Eethen,act ind per,0.5083439999999999,0.461247,0.41415100000000005
389,WK073803,Wijk 03 Eethen,act ega per,0.0962773,0.09436510000000001,0.0924528
390,WK073803,Wijk 03 Eethen,act col per,0.1181,0.11282400000000001,0.107547
391,WK073803,Wijk 03 Eethen,act fat per,0.22464699999999999,0.270342,0.316038
394,WK073803,Wijk 03 Eethen,biggest party,0.220796,0.208619,0.216981
395,WK073803,Wijk 03 Eethen,biggest party name,1.0,2.0,2.0
404,WK073804,Wijk 04 Meeuwen,act ind per,0.476671,0.470925,0.465179
405,WK073804,Wijk 04 Meeuwen,act ega per,0.0933165,0.09130110000000001,0.0892857
406,WK073804,Wijk 04 Meeuwen,act col per,0.0706179,0.0638804,0.057142899999999996
407,WK073804,Wijk 04 Meeuwen,act fat per,0.332913,0.34101,0.349107
410,WK073804,Wijk 04 Meeuwen,biggest party,0.223203,0.205798,0.208929
411,WK073804,Wijk 04 Meeuwen,biggest party name,11.0,11.0,2.0
420,WK073805,Wijk 05 Drongelen,act ind per,0.393996,0.393996,0.393996
421,WK073805,Wijk 05 Drongelen,act ega per,0.0666041,0.0666041,0.0666041
422,WK073805,Wijk 05 Drongelen,act col per,0.0750469,0.0750469,0.0750469
423,WK073805,Wijk 05 Drongelen,act fat per,0.438086,0.438086,0.438086
426,WK073805,Wijk 05 Drongelen,biggest party,0.29080700000000004,0.29080700000000004,0.29080700000000004
427,WK073805,Wijk 05 Drongelen,biggest party name,11.0,11.0,11.0
436,WK073806,Wijk 06 Babyloniënbroek,act ind per,0.393996,0.393996,0.393996
437,WK073806,Wijk 06 Babyloniënbroek,act ega per,0.0666041,0.0666041,0.0666041
438,WK073806,Wijk 06 Babyloniënbroek,act col per,0.0750469,0.0750469,0.0750469
439,WK073806,Wijk 06 Babyloniënbroek,act fat per,0.438086,0.438086,0.438086
442,WK073806,Wijk 06 Babyloniënbroek,biggest party,0.29080700000000004,0.29080700000000004,0.29080700000000004
443,WK073806,Wijk 06 Babyloniënbroek,biggest party name,11.0,11.0,11.0
452,WK035800,Wijk 00 Aalsmeer,act ind per,0.5300779999999999,0.46991499999999997,0.409753
453,WK035800,Wijk 00 Aalsmeer,act ega per,0.186556,0.17831,0.17006300000000002
454,WK035800,Wijk 00 Aalsmeer,act col per,0.084754,0.0946575,0.10456099999999999
455,WK035800,Wijk 00 Aalsmeer,act fat per,0.144788,0.202185,0.259583
458,WK035800,Wijk 00 Aalsmeer,biggest party,0.344131,0.26510300000000003,0.204755
459,WK035800,Wijk 00 Aalsmeer,biggest party name,1.0,1.0,12.0
468,WK035801,Wijk 01 Kudelstraat en Kalslagen,act ind per,0.5220229999999999,0.441841,0.36166
469,WK035801,Wijk 01 Kudelstraat en Kalslagen,act ega per,0.204894,0.188415,0.17193699999999998
470,WK035801,Wijk 01 Kudelstraat en Kalslagen,act col per,0.08254489999999999,0.0961143,0.10968399999999999
471,WK035801,Wijk 01 Kudelstraat en Kalslagen,act fat per,0.144861,0.224111,0.30336
474,WK035801,Wijk 01 Kudelstraat en Kalslagen,biggest party,0.376835,0.29069,0.24802399999999997
475,WK035801,Wijk 01 Kudelstraat en Kalslagen,biggest party name,1.0,1.0,12.0
484,WK035802,Wijk 02 Oosteinde,act ind per,0.496242,0.42593400000000003,0.35562699999999997
485,WK035802,Wijk 02 Oosteinde,act ega per,0.23019099999999998,0.22795700000000002,0.225723
486,WK035802,Wijk 02 Oosteinde,act col per,0.0847166,0.09010750000000001,0.0954984
487,WK035802,Wijk 02 Oosteinde,act fat per,0.141716,0.2088,0.275884
490,WK035802,Wijk 02 Oosteinde,biggest party,0.369715,0.297719,0.22572399999999998
491,WK035802,Wijk 02 Oosteinde,biggest party name,1.0,1.0,1.0
500,WK019701,Wijk 01 Buitengebied Aalten,act ind per,0.6072489999999999,0.607406,0.607564
501,WK019701,Wijk 01 Buitengebied Aalten,act ega per,0.17260799999999998,0.150892,0.129175
502,WK019701,Wijk 01 Buitengebied Aalten,act col per,0.10398099999999999,0.0910377,0.07809429999999999
503,WK019701,Wijk 01 Buitengebied Aalten,act fat per,0.0816993,0.11820699999999999,0.15471500000000002
506,WK019701,Wijk 01 Buitengebied Aalten,biggest party,0.35502100000000003,0.37716700000000003,0.399312
507,WK019701,Wijk 01 Buitengebied Aalten,biggest party name,2.0,2.0,2.0
516,WK019702,Wijk 02 Bredevoort,act ind per,0.46724899999999997,0.44961899999999994,0.43199
517,WK019702,Wijk 02 Bredevoort,act ega per,0.20262,0.190101,0.177582
518,WK019702,Wijk 02 Bredevoort,act col per,0.188646,0.178706,0.168766
519,WK019702,Wijk 02 Bredevoort,act fat per,0.103057,0.13591099999999998,0.168766
522,WK019702,Wijk 02 Bredevoort,biggest party,0.265502,0.26751199999999997,0.269521
523,WK019702,Wijk 02 Bredevoort,biggest party name,2.0,2.0,2.0
532,WK019703,Wijk 03 Aalten Kern,act ind per,0.448668,0.44631000000000004,0.44395100000000004
533,WK019703,Wijk 03 Aalten Kern,act ega per,0.204422,0.193666,0.182911
